Ventas cerradas,,,,,,,,,,Nuevos listados,,,,,,,,,,Inventario,,,,,,,,,,Tiempo para cierre de contrato,,,,,,,,
Precio de venta,$1000000 - $1249999,$1250000 - $1499999,$1500000 - $1999999,$2000000 - $2999999,$3000000 - $4999999,$5000000 - $9999999,$10000000 o mas,Total,,Precio inicial de listing,$1000000 - $1249999,$1250000 - $1499999,$1500000 - $1999999,$2000000 - $2999999,$3000000 - $4999999,$5000000 - $9999999,$10000000 o mas,Total,,Precio de listing actual,$1000000 - $1249999,$1250000 - $1499999,$1500000 - $1999999,$2000000 - $2999999,$3000000 - $4999999,$5000000 - $9999999,$10000000 o mas,Total,,Precio de venta,$1000000 - $1249999,$1250000 - $1499999,$1500000 - $1999999,$2000000 - $2999999,$3000000 - $4999999,$5000000 - $9999999,$10000000 o mas,Promedio
Enero 2026,30,16,19,25,19,10,6,125,,Enero 2026,91,65,112,82,86,54,21,511,,Enero 2026,467,405,534,471,442,286,149,2754,,Enero 2026,69,89,79,84,55,136,103,88
Febrero 2026,39,16,39,27,19,11,6,157,,Febrero 2026,75,67,75,70,65,34,14,400,,Febrero 2026,464,387,517,457,432,272,147,2676,,Febrero 2026,95,82,94,105,134,80,84,96
Marzo 2026,32,30,40,33,36,17,3,191,,Marzo 2026,66,58,61,66,54,42,15,362,,Marzo 2026,436,368,476,435,424,276,141,2556,,Marzo 2026,106,106,120,98,91,98,369,141
Abril 2026,37,41,45,35,24,14,11,207,,Abril 2026,49,62,99,58,64,32,21,385,,Abril 2026,416,374,493,418,420,294,137,2552,,Abril 2026,119,74,92,107,131,115,134,110
Mayo 2026,26,21,35,25,29,9,7,152,,Mayo 2026,63,64,91,66,54,29,17,384,,Mayo 2026,428,369,490,410,408,288,138,2531,,Mayo 2026,96,67,50,113,112,200,149,112
