Tasa Overnight,Tasa de referencia,Fecha
6.74,6.75,10-Apr-26
,,
Plazo,Tasa (%),Fecha de subasta
28 días,6.6,09-Apr-26
91 días,6.9,09-Apr-26
175 días,7.03,09-Apr-26
365 días,7.44,01-Apr-26
679 días,8.37,09-Apr-26
3.93 años,8.94,26-Mar-26
6.04 años,9.05,01-Apr-26
10.01 años,8.74,19-Feb-26
16.61 años,9.82,09-Apr-26
29.13 años,9.67,19-Mar-26
